,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__solver,param_clf__penalty,param_clf__C,params,split0_test_score,mean_test_score,std_test_score,rank_test_score
0,376.83428406715393,0.0,0.12103819847106934,0.0,newton-cg,none,2,"{'clf__solver': 'newton-cg', 'clf__penalty': 'none', 'clf__C': 2}",0.6065312735704109,0.6065312735704109,0.0,4
1,28.586999893188477,0.0,0.3549983501434326,0.0,lbfgs,l2,2,"{'clf__solver': 'lbfgs', 'clf__penalty': 'l2', 'clf__C': 2}",0.5752158002067213,0.5752158002067213,0.0,7
2,38.63099980354309,0.0,0.2879972457885742,0.0,saga,none,0.1,"{'clf__solver': 'saga', 'clf__penalty': 'none', 'clf__C': 0.1}",0.6066150794759337,0.6066150794759337,0.0,1
3,49.101996421813965,0.0,0.15903949737548828,0.0,newton-cg,l2,1,"{'clf__solver': 'newton-cg', 'clf__penalty': 'l2', 'clf__C': 1}",0.5865295974523005,0.5865295974523005,0.0,5
4,38.72800254821777,0.0,0.30499887466430664,0.0,saga,none,2,"{'clf__solver': 'saga', 'clf__penalty': 'none', 'clf__C': 2}",0.6066150794759337,0.6066150794759337,0.0,1
5,38.31200194358826,0.0,0.29999804496765137,0.0,saga,none,0.05,"{'clf__solver': 'saga', 'clf__penalty': 'none', 'clf__C': 0.05}",0.6066150794759337,0.6066150794759337,0.0,1
6,8.32099723815918,0.0,0.3840007781982422,0.0,saga,l2,0.05,"{'clf__solver': 'saga', 'clf__penalty': 'l2', 'clf__C': 0.05}",0.5003212559711707,0.5003212559711707,0.0,9
7,24.203999280929565,0.0,0.3729989528656006,0.0,newton-cg,l2,0.01,"{'clf__solver': 'newton-cg', 'clf__penalty': 'l2', 'clf__C': 0.01}",0.44797050032125596,0.44797050032125596,0.0,10
8,6.78999924659729,0.0,0.38899922370910645,0.0,sag,l2,0.05,"{'clf__solver': 'sag', 'clf__penalty': 'l2', 'clf__C': 0.05}",0.5004329971785345,0.5004329971785345,0.0,8
9,24.71199917793274,0.0,0.19499874114990234,0.0,lbfgs,none,0.05,"{'clf__solver': 'lbfgs', 'clf__penalty': 'none', 'clf__C': 0.05}",0.5786239070313155,0.5786239070313155,0.0,6
